loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,collections_12_mths_ex_med,application_type,pub_rec_bankruptcies,tax_liens,disbursement_method,target,openness,conscientiousness,extraversion,agreeableness,neuroticism,desc_length
7700,7700, 60 months,12.12,171.75,B,B3,SWS of New York,5 years,RENT,80250.0,Verified,Oct-2012,"  Borrower added on 09/25/12 > I have to find an apartment immediately and need this to cover the move-in expenses (Security Deposit, Brokers Fee), until I receive my returned Security Deposit back. I felt this was the best option for me. I have great credit, income, and no history of non-payments!! Please help :-)<br>",other,Personal,113xx,NY,8.81,0.0,Jan-1998,1.0,12.0,0.0,14214,41.0,33.0,0.0,Individual,0.0,0.0,Cash,0,0.5555738574972165,0.5711739954547872,0.6202383534829873,0.6235092293559175,0.6573857917929984,320
7000,7000, 36 months,12.99,235.83,C,C1,Truck Enterprises Inc.,10+ years,MORTGAGE,175000.0,Not Verified,Jun-2011,"  Borrower added on 06/05/11 > Have above gound swimming pool installed.<br/> Borrower added on 06/07/11 > Good borrowrer capable of making capital contributions in the event of economic stres, stable steady jobs and income long term employment. Good credit, improving strategies in place. Positive cash flow and net worth liguidity. Large cash flow net earnings and investements for retiremt maxed for contributions.<br/>",home_improvement,Pool,229xx,VA,9.38,0.0,Sep-1999,0.0,6.0,0.0,3829,76.6,17.0,0.0,Individual,0.0,0.0,Cash,0,0.4487653497059215,0.3975800129729692,0.4805291634832326,0.5617103299734344,0.610394164778937,422
22000,22000, 36 months,10.99,720.15,B,B2,Air Quality Inspector,10+ years,MORTGAGE,95000.0,Source Verified,Jan-2014,"  Borrower added on 01/21/14 > Pay off high interest credit cards and simplify life into one payment.  Reducing debt has been my primary goal for the last three years.  I had no choice but to pull some credit to put a roof on my house this past year, but I am not intending on going further into debt.  This will help reach my goal<br>",debt_consolidation,Debt consolidation,913xx,CA,11.47,0.0,Aug-1998,0.0,10.0,0.0,20922,63.8,19.0,0.0,Individual,0.0,0.0,Cash,0,0.5193146670309782,0.4107899953339056,0.5137840796663267,0.5067387134783857,0.5152392411916153,335
3000,3000, 36 months,19.72,111.07,D,D5,Cozy Services Ltd.,< 1 year,RENT,60000.0,Source Verified,May-2013,"  Borrower added on 05/01/13 > I'm moving to a nearby city with a much safer, cleaner, and quieter neighborhood, but all that comes at a cost. The loan would help supplement what I've already saved for the security deposit, first month's rent, packing supplies, moving van, and other miscellaneous moving expenses.<br>",moving,Moving From One City to Another,941xx,CA,1.04,0.0,Aug-2008,0.0,2.0,0.0,170,18.9,11.0,0.0,Individual,0.0,0.0,Cash,0,0.4458373015215257,0.423568722949186,0.5116489873542811,0.4981139375555755,0.6096025803965306,318
12600,12600, 36 months,12.42,421.04,B,B4,L&L Parts & Repairs,10+ years,OWN,38000.0,Verified,Nov-2011,"  Borrower added on 10/29/11 > Looking to do several upgrades to my house, with a new metal roof first. Then building an enclosed entry porch and a small storage building also.  I wIll be replacing some flooring in a hallway and a bathroom. New insulation will be added as well. I am doing about 90 percent of this work myself as I have several years of experience doing carpenter work on the side. I want to upgrade these areas so this house will last for years and years.  I also have a small business loan from Lending Club that I have been making payments on for a year now and I have never missed a payment. While I dont understand why the interest rate for this loan is higher than my first, it is still a better rate than I can get locally. Thanks  !!<br/>",home_improvement,House Upgrade,724xx,AR,23.73,0.0,Aug-1998,1.0,10.0,1.0,4675,35.2,15.0,0.0,Individual,0.0,0.0,Cash,1,0.5793137622234441,0.5424407739808174,0.6187284705452664,0.5950301404088602,0.7075840047887582,763
12000,12000, 36 months,19.52,443.04,D,D4,Sumter County Adult Ed,1 year,RENT,35000.0,Not Verified,Jul-2013,  Borrower added on 06/29/13 > This loan will be used to pay off the debt I accumulated because of car repairs and new eyeglasses. I also have medical bills and credit card bills from when I was unemployed. I will be with my employer for two years in December 2013.<br>,debt_consolidation,Consolidation,290xx,SC,15.74,0.0,Jan-1990,2.0,17.0,0.0,6105,82.5,35.0,0.0,Individual,0.0,0.0,Cash,1,0.6371234353048939,0.7348291607903014,0.6889548088146107,0.6574061410234396,0.7075801911463346,269
8000,8000, 36 months,12.12,266.18,B,B3,Sandbox,7 years,MORTGAGE,54000.0,Not Verified,Jan-2013,  Borrower added on 01/08/13 > I would like to get rid of the credit card balances I have so I can save some money.<br><br> Borrower added on 01/08/13 > I would like to get rid of all my credit cards so I can save money for some fixing up to do around my house.<br>,credit_card,Credit card pay off,604xx,IL,6.58,0.0,Jul-1992,0.0,8.0,1.0,8857,68.7,16.0,0.0,Individual,1.0,0.0,Cash,0,0.5719566002829504,0.636914299627817,0.6524537921491941,0.6149430479552006,0.6523368718799297,265
14400,14400, 36 months,9.76,463.03,B,B1,Bayside Solutions ,2 years,RENT,37430.0,Source Verified,May-2012,  Borrower added on 05/02/12 > I am paying over $500 in interest and fees. The monthly payments on this loan would be about $50 more than what I am paying which is not only manageable but a responsible guaranteed way to pay off my debts within the three year terms.<br>,debt_consolidation,May 2012 Consolidation ,945xx,CA,12.92,0.0,Aug-2003,0.0,6.0,0.0,17462,84.4,8.0,0.0,Individual,0.0,0.0,Cash,0,0.6633349009376215,0.7164770472537508,0.6368203388557752,0.653093188126621,0.5572655330421551,269
10000,10000, 36 months,14.61,344.76,D,D1,Sentry Insurance,< 1 year,RENT,30000.0,Source Verified,Aug-2009,"I'll be using the money to pay off my full credit card balances left over from college.  I'm paying 18% interest on the loans, and would like to reduce that as much as possible, and consolidate it into one monthly payment.  I am working as a salaried insurance agent, where I receive a twice monthly salary check, plus commission on any sales I make.  I do NOT work on a commission-only structure, and never have to worry about whether or not I'll have income.  Having a company car also lowers my costs, as I do not pay for gas, car insurance, or car repair costs.    I was a business/finance major in college, and have run several side businesses, including one which I am involved in now.  I will have absolutely no problem making payments for this loan, doing so entirely with income outside my main job.  I would even like to pay off the loan early if possible.  I use Microsoft Excel to track and monitor my budget, income, and spending - all on a spreadsheet that I developed myself.  I established and wrote a very successful personal finance blog, while no longer active, is proof of my knowledge in budgeting and finance.    I look forward to providing LendingClub investors with a great, reliable return while helping lower my interest rates as well.  If you have any questions, I'd be more than happy to answer them.  Thank you for your time.",debt_consolidation,Debt Consolidation,551xx,MN,11.36,2.0,Dec-2002,1.0,8.0,0.0,10544,57.0,12.0,0.0,Individual,0.0,0.0,Cash,0,0.5425928907044831,0.6388869471729945,0.6430612488551859,0.564482836708967,0.5619927664608291,1354
9000,9000, 36 months,11.48,296.72,B,B2,Thai 9 Restaurant,4 years,RENT,32000.0,Not Verified,Dec-2009, 576916 added on 11/19/09 > I really enjoy working - I currently work six days a week.  I was thinking of a more long term plan and decided I wanted to focus all of my income into eliminating my debt so that I would have the option of relocating in a few years.<br/>,debt_consolidation,Godspeed,454xx,OH,11.36,0.0,Sep-1999,1.0,14.0,0.0,16021,30.6,20.0,0.0,Individual,0.0,0.0,Cash,1,0.313722994338598,0.4069471076730695,0.310861127097666,0.3364802875197462,0.2727380712251154,266
3000,3000, 36 months,11.89,99.5,B,B4,Jon Felts LLC,2 years,RENT,30000.0,Not Verified,Feb-2009,"I am a certified golf teaching professional with a solid and growing client base.  I have been teaching at two local golf courses in Northern California for the past four years.  I am seeking capital to expand my current business and develop a recognizeable brand name.  $1,500 of the loan amount will be used to purchase equipment for the startup of an indoor golf instruction facility.  Equipment includes a hitting net, mat, balls, and video equipment.  The remaining amount of the loan will be used for promotion and branding such as website development, product development (instructional DVD's and books), golf magazine/newspaper advertisements, business cards, flyers and other marketing materials.  I'd be happy to answer any questions regarding this investment opportunity.  Feel free to call Jon Felts at 916-847-8348.",small_business,Golf Academy,957xx,CA,18.28,0.0,Dec-1989,0.0,9.0,0.0,14577,34.7,13.0,0.0,Individual,0.0,0.0,Cash,0,0.4657509334983711,0.5655849124349491,0.6542740764921964,0.5613279662308491,0.7439378882981329,828
18000,18000, 36 months,8.9,571.56,A,A5,attorney,< 1 year,RENT,100000.0,Verified,Jan-2014,  Borrower added on 01/29/14 > I am using this loan exclusively to pay off all my credit card debt. The credit cards I need to pay off have APRs between 24% and 29%. I earn a steady income and am fiscally responsible and am eager to get ahead of this debt (that I incurred in college and law school) once and for all.<br>,credit_card,Credit card refinancing,900xx,CA,26.27,0.0,Sep-2003,2.0,17.0,0.0,18993,43.2,43.0,0.0,Individual,0.0,0.0,Cash,0,0.589174792304419,0.6160028675221627,0.6179054460728151,0.6959873935501368,0.5607696247756186,321
3000,3000, 36 months,10.25,97.16,B,B2,,,RENT,9081.0,Not Verified,Mar-2010,"  Borrower added on 03/04/10 > -How I Plan To Use the Funds: to purchase a used vehicle to travel to and from college (I am a Japanese major) and work<br/>-What Makes Me a Good Borrower: I don't have any outstanding balances on my credit cards, nor am I in debt at all! I only rely on the funds from my part-time job. I pay all my bills on time!<br/>-Job Stability: I have had my job for over a year and a half. I am a valuable asset to my employer and recently received a promotion and a raise.<br/> Borrower added on 03/05/10 > Other Information: From 2005 to 2006, I was a high school exchange student to Taiwan for one year at Hujiang High School in Taipei with Rotary International.<br/>",car,Car to get to College!!!,786xx,TX,0.79,0.0,Jun-2005,2.0,3.0,0.0,6,0.0,4.0,0.0,Individual,0.0,0.0,Cash,0,0.5325416373232681,0.5511225863501553,0.6157222804339552,0.5908968306018584,0.6465214961169227,692
5000,5000, 36 months,13.11,168.74,B,B4,Hospital Employee,10+ years,MORTGAGE,30000.0,Verified,Jan-2013,  Borrower added on 01/08/13 > Debt Consolidation Loan.  I want to pay off two revolving charge accounts.  This loan will not affect my personal disposable income.  Since I will be paying out the same amount each month but I will have the debt paid off in three years with this loan.<br>,debt_consolidation,Debt Consolidation Loan,477xx,IN,30.96,0.0,Jul-1987,0.0,15.0,0.0,16388,45.3,35.0,0.0,Individual,0.0,0.0,Cash,0,0.4011188314845696,0.3931656913897171,0.4875243947779139,0.4860003959091614,0.4986964529736741,287
12000,12000, 36 months,9.71,385.58,B,B1,Paychex,3 years,RENT,80000.0,Not Verified,Sep-2013,  Borrower added on 09/09/13 > We are buying a home and need a little extra money for closing costs and such things.  We originally expected our costs to be around 4000 and now they are around 9000 and I want to have some extra padding in case other costs arise so we don't have to tap into our reserves to cover it.<br>Thanks!<br>,house,Home Purchase extra expenses,450xx,OH,13.49,0.0,Apr-2002,0.0,19.0,0.0,4843,10.0,48.0,0.0,Individual,0.0,0.0,Cash,0,0.5781387148399426,0.5753942035404194,0.6441923303966021,0.5798538240457839,0.5370654506931978,331
12500,12500, 36 months,19.04,458.46,G,G4,Government of the District of Columbia,2 years,MORTGAGE,123000.0,Not Verified,Nov-2008,"I am completing the financial proceedings of a divorce and I need to hire an attorney to negotiate the equitable distribution of the Assets. These proceeds will be used to hire the attorney and to stabilize my financial affairs.  As an additional fund-raising action, and as a risk mitigating hedge against this loan, I am also in the process of refinancing my condominium.  Its appraised value was $267,000 in 12/2006.  The target proceeds are $5,000 - $20,000.  The actual amount will depend on property appraisal.  My condo is in ""North Bethesda, MD""... approx. 4 miles North of Bethesda (an appreciating to stable market) and 6 miles South of Rockville (designated a declining market).  The need to borrow is created by timing.  I estimate that the current value of the divorce assets is approximately $200,000.  My ex-wife and I were married in the State of NC.  NC law indicates an equitable distribution should apply.  The goal is to invest up to $20,000 in hiring a competent divorce attorney to achieve the $100,000 in assets.    The assets from the divorce will be used to settle all debts.  Remaining proceeds would start a retirement fund, begin investments and be used to fund additional education. Presently I have an MBA and JD (I did pro-bono, some regulatory and in-house counsel work for startups previously, as a member of the Bar, but I do not practice law now).  I use that education in my work in enterprise procurements for a large government entity.",other,Equitable Distribution of Assets,208xx,MD,5.84,1.0,Nov-1991,1.0,5.0,0.0,13363,99.0,21.0,0.0,Individual,0.0,0.0,Cash,1,0.3957633800087763,0.4796770798777543,0.512477848789613,0.4230599613325678,0.5422766286949287,1473
12000,12000, 36 months,8.9,381.04,A,A5,Gilead Sciences,< 1 year,RENT,65000.0,Not Verified,Sep-2012,  Borrower added on 08/23/12 > I want to consolidate all my credit cards and a personal debt into one account so it will be easier for me to manage.<br><br>  Borrower added on 08/26/12 > I want to pay back a personal loan I received from a dear friend who helped me during a rough period of my life while I was in college.<br>,debt_consolidation,Clearing debt to new life,950xx,CA,11.89,0.0,Nov-2001,0.0,20.0,0.0,11239,30.5,36.0,0.0,Individual,0.0,0.0,Cash,0,0.5064053909218281,0.4999713306387927,0.5570771539622976,0.5961419037506497,0.6397888663300605,326
29100,29100, 36 months,11.14,954.63,B,B2,TruStile Doors,4 years,RENT,66000.0,Verified,Apr-2013,  Borrower added on 04/12/13 > I got myself into some debt a number of years ago and have been slowly (too slowly) paying it down. It is now time to get rid of it once and for all to clear my life of this burden.  Looking forward to getting out of debt with the help of this consolidation. Thank you.<br>,debt_consolidation,Debt consolidation,803xx,CO,16.35,0.0,Dec-1996,0.0,11.0,0.0,32296,48.6,20.0,0.0,Individual,0.0,0.0,Cash,0,0.5918344249772874,0.5807190447586292,0.64333761789318,0.6268907485492247,0.6300544423481861,304
8000,8000, 36 months,16.2,282.05,C,C4,Exec Admin,8 years,MORTGAGE,55000.0,Source Verified,Oct-2013,"  Borrower added on 10/01/13 > The loan is to combine credit cards to a lower interest rate. My plan is to pay $50 extra dollars each month, and pay it off within 2 years, rather than the 3.<br><br> Borrower added on 10/01/13 > Looking to consolidate some high interest store credit cards.  Planning to increase the monthly payment and gets this paied back in 2 years.<br>",credit_card,Credit Cards,640xx,MO,30.22,4.0,Mar-1995,2.0,13.0,0.0,36276,88.0,42.0,0.0,Individual,0.0,0.0,Cash,0,0.5983698692188554,0.506624856920842,0.6109696452366854,0.6058984126490978,0.6515725991263615,372
9000,9000, 36 months,11.36,296.2,B,B5,iron mountain,10+ years,RENT,61041.0,Verified,Mar-2010,"  Borrower added on 03/03/10 > wanting to pay off a truck loan that is considerably higher in finance charges and interest.<br/> Borrower added on 03/04/10 > As I have stated in previous answers to your questions, I am asking for this loan strictly to pay off this truck loan. I am a good customer that you will not regret helping. I am asking for your help. Thank You<br/>",other,personal loan,980xx,WA,3.24,0.0,Jan-2002,0.0,2.0,0.0,204,68.0,7.0,0.0,Individual,0.0,0.0,Cash,0,0.5704615712010244,0.6168954568976139,0.5841221532400492,0.5284767575764785,0.517614415666922,373
4800,4800, 36 months,16.29,169.45,C,C4,Old Dominion University,9 years,RENT,65000.0,Not Verified,Nov-2012,"  Borrower added on 11/16/12 > After nearly pulling myself out of debt, my pet became sick with a mystery illness. I spent almost $5,000 prolonging his life and making him comfortable, but the vets couldn't figure out what was wrong. Unfortunately, those costs sunk me back into debt and I just need a jumpstart to recovery.<br>",debt_consolidation,Quickstart Recovery,235xx,VA,10.21,0.0,Jun-2001,2.0,19.0,0.0,16777,80.7,30.0,0.0,Individual,0.0,0.0,Cash,0,0.5933248466995976,0.4438468789643027,0.6383667731243102,0.551133962457452,0.6359412486784082,328
9125,9125, 60 months,10.74,197.22,B,B4,McPherson's Jewelry,10+ years,RENT,100000.0,Not Verified,Mar-2011,"  Borrower added on 03/16/11 > Thank you for your interest in funding my loan. I have a credit card with a 19.99% APR. I would like to use the proceeds of this loan to pay it. Obviously, I'm paying on the credit card anyway, I'd just like to save some money on the interest charges. As evidenced my credit bureau, I ususally pay off my loans early and I've never had any late payments.<br/>",debt_consolidation,To Pay Off A High Interest Credit Card,891xx,NV,17.98,0.0,Mar-1994,1.0,12.0,0.0,55377,83.4,36.0,0.0,Individual,0.0,0.0,Cash,0,0.6818599064462805,0.7341273401675934,0.6984298897175982,0.6691517360447975,0.5791245634408948,390
6000,6000, 36 months,15.37,209.08,D,D5,LyChron LLC,6 years,RENT,88020.0,Verified,Apr-2009,"First off I would like to say thank you to everyone who funded my previous listing.  Unfortunately it was above my debt to income requirements for LendingClub.  The loan will be to consolidate a portion of my credit card debt and pay off what's left on my car loan. I currently own two duplexes in Modesto CA that I get $2,500 a month on rent from and another house in Reno NV that gets me $1,000.00 a month. I did however loan another friend $23,000 to help him consolidate his debt about 2 years ago and he has been making payments to me ($635/month) but now I need to consolidate my own debt. I am never late on any of my payments and I would like to save up enough money again to purchase a home in my area.  Aside from the $633.33 from the personal loan I lent my friend I also receive about $275.00 monthly from my Prosper.com account.  I also receive $30.00/hr from a 2nd job that I do on the side.  My hours there are not consistent and I am listing them below.  Income:   Work (on average) $3,200.00   Rent from Modesto $2,500.00   Rent from Reno $1,000.00   Personal loan $ 635.00    Total $7,335.00    Thank you, ",debt_consolidation,Debt consolidation-start saving,950xx,CA,13.24,0.0,Mar-1994,0.0,20.0,0.0,24214,68.0,41.0,0.0,Individual,0.0,0.0,Cash,0,0.4559556117979439,0.4577841980662768,0.5862536842424558,0.5357302144055487,0.660856645418643,1124
4000,4000, 36 months,16.29,141.21,D,D1,National Bank of California,4 years,RENT,35000.0,Not Verified,Dec-2011,"  Borrower added on 12/02/11 > I want to pay off all my debt that is concentrated on credit cards, I always pay on time but my credit cards rate are too high and I think is a good idea to get this loan so I will be able to pay less interest, I am planning to make payments more than the minimum payment.<br>Borrower added on 12/02/11 > I want to pay off all my debt that is concentrated on credit cards, I always pay on time but my credit cards rate are too high and I think is a good idea to get this loan so I will be able to pay less interest, I am planning to make payments more than the minimum payment.<br>",debt_consolidation,Pay Off Debt,900xx,CA,9.22,0.0,Sep-2003,0.0,7.0,0.0,8247,83.5,13.0,0.0,Individual,0.0,0.0,Cash,0,0.6745808653125309,0.7014208477126387,0.5796433067167218,0.5837557061136484,0.6452878928060445,612
5000,5000, 36 months,10.16,161.72,B,B1,Silver Consolidated Schools,5 years,MORTGAGE,45000.0,Not Verified,Dec-2012,  Borrower added on 12/05/12 > My loan is for a remodel of my kitchen.  My house was built in the 60's and the cabinets are now outdated and starting to show their wear and tear.  The flooring right now is carpet.  I wish to replace the cabinets and the put in lenolium floors.<br>,home_improvement,Kitchen,880xx,NM,20.05,0.0,Jan-2000,0.0,8.0,0.0,9569,72.5,10.0,0.0,Individual,0.0,0.0,Cash,0,0.5192910453010352,0.4844119569480139,0.543570548941631,0.5654938696507397,0.7252487442576112,281
12000,12000, 36 months,7.29,372.12,A,A4,Virginia Commerce Bank,2 years,MORTGAGE,75000.0,Source Verified,Mar-2011,"  Borrower added on 03/18/11 > I have the funds in my 401K to borrow.  I want to do it this way because I don't want to borrow against my 401K.  If I needed to, I would borrow from that to pay back this loan, so it is a pretty safe investment.<br/>",debt_consolidation,Debt Consolidation,201xx,VA,13.66,0.0,Oct-2000,0.0,7.0,0.0,28790,63.9,22.0,0.0,Individual,0.0,0.0,Cash,0,0.4915128617186584,0.5499866880038123,0.4931019045364148,0.4914836665608804,0.4402697834777007,248
5000,5000, 36 months,11.99,166.05,B,B3,Flight Attendant,1 year,RENT,27000.0,Not Verified,Oct-2013,  Borrower added on 09/24/13 > This Loan will allow progress on with financial goals. The weight of my current payment does not leave money to buy groceries...with this payment I CAN see the light of day and move forward in life. Thank you! I am grateful for the application process and appreciative for this opportunity to breathe<br>,debt_consolidation,Transitions,611xx,IL,21.16,0.0,Feb-2007,0.0,6.0,0.0,3981,44.7,7.0,0.0,Individual,0.0,0.0,Cash,0,0.5195489007008893,0.53297132856356,0.5245927220951355,0.5558254966654512,0.4838649275499808,335
4000,4000, 36 months,13.11,134.99,B,B4,Housing Authority of the City of El Paso,1 year,RENT,23275.0,Not Verified,Jul-2012,  Borrower added on 06/26/12 > I plan to use this loan to pay off high-interest credit cards that I used for living expenses while earning my bachelors degree. I am current on all accounts however I desire to pay them off faster with a lower APR. I am gainfully employed for 1 year+ with a stable company.<br>,debt_consolidation,Lower Interest Loan,799xx,TX,24.75,0.0,Feb-2005,0.0,13.0,0.0,4847,86.6,27.0,0.0,Individual,0.0,0.0,Cash,0,0.5161519463083862,0.5636091950101402,0.4870951713458399,0.5733404117746874,0.5073249815850454,309
5000,5000, 36 months,21.0,188.38,E,E2,"Lenmar Enterprises, Inc.",< 1 year,RENT,43000.0,Not Verified,Jan-2013,  Borrower added on 12/28/12 > Car repair. Have to replace the transmission on my vehicle. The last owner didn't take care of the manual transmission. So the clutch and flywheel need to be replaced. I'm anticipating it to be an expensive job because I plan on keeping this car for a long time.<br>,other,Car Repair,930xx,CA,21.6,0.0,Jun-2004,0.0,8.0,0.0,4525,70.7,17.0,0.0,Individual,0.0,0.0,Cash,0,0.5733710107489293,0.6344374438610431,0.6381099193527147,0.5445574290940187,0.6474564442485693,297
