sample_id,desc_length,loan_amnt,grade
389,1655,5000,B
390,776,24000,F
391,274,4000,D
392,324,21000,A
393,329,28000,A
394,598,20000,C
395,311,7000,A
396,790,24250,B
397,489,3800,A
398,508,25000,D
399,284,12000,A
400,786,15000,B
401,437,14000,B
402,266,8000,C
403,332,13750,B
404,545,30000,C
405,522,5000,A
406,284,20000,C
407,335,10000,B
408,305,24000,B
409,329,12000,B
410,686,18550,B
411,340,12000,A
412,362,6000,B
413,324,18000,A
414,621,10800,D
415,308,12000,B
416,264,6600,A
417,286,21200,A
418,322,10000,A
419,314,12000,B
420,288,7350,B
421,595,30000,E
422,308,16000,B
423,557,11500,C
424,508,20000,C
425,1049,23750,C
426,457,13250,E
427,347,8000,A
428,592,9000,B
429,300,7200,B
430,444,22000,A
431,495,14500,D
432,332,5250,F
433,574,5000,C
434,331,5500,B
435,293,6000,A
436,304,20000,B
437,715,17625,B
438,686,24000,B
439,1425,24000,C
440,265,6000,C
441,591,8000,D
442,1313,19600,D
443,645,20000,E
444,317,15000,C
445,392,4000,B
446,398,35000,B
447,291,13000,B
448,330,30000,F
449,292,28000,D
450,532,5000,B
451,852,14125,B
452,508,11000,A
453,406,3000,D
454,325,8875,B
455,327,6200,C
456,607,12000,B
457,249,9600,B
458,287,22000,A
459,2708,15000,A
460,308,6000,C
461,279,16000,C
462,333,15000,B
463,981,4925,C
464,336,21850,C
465,321,10000,C
466,333,12000,B
467,309,15000,C
468,283,3600,E
469,975,20000,B
470,393,20000,D
471,775,28100,E
472,476,7000,A
473,290,24000,F
474,331,5000,B
475,808,6250,B
476,313,20000,C
477,285,10000,D
478,947,18000,B
479,516,5500,D
480,1927,16000,E
481,607,6000,E
482,468,4000,C
483,327,2125,E
484,553,17475,E
485,1601,20000,G
486,484,15000,C
487,292,15000,B
488,430,18000,C
489,320,6100,B
490,286,28000,B
491,293,15050,B
492,328,15000,B
493,636,10000,B
494,837,20000,B
495,1416,12000,D
496,1016,35000,D
497,881,30000,E
498,441,30000,D
499,2076,15000,D
500,334,15000,B
501,335,16500,D
502,314,16800,B
503,289,9500,C
504,509,8000,B
505,328,10000,B
506,411,18000,A
507,348,25000,D
508,324,21000,E
509,325,18000,D
510,567,5300,C
511,290,11000,B
512,1100,13000,B
513,308,14000,B
514,310,7200,D
515,1128,9600,D
516,294,35000,C
517,1592,25000,C
518,951,25000,B
519,300,12500,A
520,1222,15000,D
521,604,6000,B
522,1106,12000,D
523,488,10000,F
524,741,4500,C
525,267,14000,A
526,395,13000,C
527,580,8400,D
528,1080,7675,B
529,523,10000,A
530,511,2000,A
531,379,12800,D
532,568,5000,B
533,286,10400,B
534,309,25000,A
535,501,18825,C
536,716,11200,A
537,264,13000,C
538,328,17600,C
539,852,25000,D
540,345,1200,A
541,329,24000,B
542,733,20000,A
543,501,18000,E
544,370,20000,C
545,413,10000,B
546,268,13200,A
547,1366,2775,A
548,845,15000,D
549,375,30000,F
550,278,15000,C
551,330,24575,A
552,315,7000,C
553,317,23750,F
554,285,2400,A
555,334,14600,B
556,547,17800,B
557,281,16000,B
558,315,24000,B
559,290,7000,C
560,646,16425,A
561,391,10000,B
562,293,10000,A
563,2318,18000,E
564,316,15250,D
565,1482,24000,F
566,302,10750,D
567,581,1150,B
568,870,15000,D
569,335,6300,A
570,648,12000,C
571,336,7500,C
572,432,21000,C
573,332,25000,C
574,308,12000,C
575,262,18000,B
576,400,6000,A
577,330,20000,B
578,303,17650,A
579,249,7200,C
580,367,20000,F
581,330,11000,C
582,338,16000,A
583,549,31825,E
584,410,16000,E
585,332,15000,B
586,333,17375,D
587,303,10000,B
588,313,20000,B
589,298,12000,A
590,309,16750,B
591,447,15000,B
592,278,3200,B
593,837,11500,G
594,444,25600,C
595,306,10000,E
596,334,4000,B
597,456,9000,A
598,364,19950,F
599,667,12000,A
600,332,24000,A
601,1670,20000,B
602,555,19200,E
603,449,23000,D
604,332,12000,A
605,680,14000,B
606,1139,3000,C
607,1182,5000,A
608,305,11000,C
609,307,5000,A
610,329,21000,B
611,279,10000,B
612,791,5000,B
613,612,18000,C
614,433,16000,C
615,311,21000,A
616,495,35000,E
617,361,20000,D
618,414,18000,B
619,793,34800,E
620,361,20000,E
621,300,10000,A
622,630,7000,A
623,335,18000,B
624,1921,6500,D
625,314,15000,B
626,524,14000,A
627,252,15000,A
628,288,18400,C
629,374,14000,B
630,447,35000,E
631,321,17475,D
632,863,15000,C
633,352,7125,B
634,490,20000,B
635,334,8000,C
636,330,6075,A
637,282,10000,A
638,277,5000,B
639,1405,13500,B
640,335,29300,A
641,275,18000,D
642,269,19525,B
643,611,10000,A
644,661,5000,A
645,659,11325,B
646,273,4800,D
647,330,17550,C
648,328,6000,A
649,353,7500,B
650,423,15000,C
651,404,7775,A
652,329,9000,B
653,263,25000,B
654,288,4500,A
655,511,3000,C
656,335,17425,B
657,332,35000,C
658,455,25000,E
659,1526,10000,C
660,349,5000,A
661,371,8000,D
662,326,20000,B
663,373,8875,D
664,1006,12000,B
665,458,4300,B
666,335,14400,B
667,360,10000,A
668,316,7200,C
669,334,5500,A
670,308,3600,C
671,339,10400,B
672,334,5900,A
673,505,12000,A
674,315,16000,C
675,296,7200,B
676,1035,7000,D
677,334,19600,C
678,502,17500,B
679,283,10000,D
680,773,10000,B
681,554,1800,B
682,289,16000,B
683,714,14000,B
684,254,11200,B
685,451,21000,A
686,402,16450,F
687,335,25000,B
688,1603,13000,C
689,3316,18000,A
690,320,25450,B
691,467,2700,D
692,837,6000,B
693,334,16000,C
694,494,21500,C
695,334,14400,C
696,611,21600,A
697,329,24575,C
698,296,20000,B
699,325,15000,B
700,781,8400,A
701,827,12000,C
702,313,4125,D
703,311,8700,B
704,335,14500,A
705,266,12000,A
706,531,8000,B
707,298,5000,C
708,1060,15000,C
709,385,30000,E
710,331,12000,B
711,335,5100,A
712,795,25000,B
713,635,2400,A
714,917,9000,D
715,757,12000,C
716,327,15000,B
717,322,12000,B
718,419,21600,A
719,466,10000,C
720,669,35000,F
721,333,24000,D
722,274,5000,C
723,293,10000,A
724,497,1800,B
725,539,6700,A
726,531,8500,A
727,283,15600,E
728,260,7000,A
729,326,35000,E
730,327,2000,C
731,357,5000,B
732,701,3600,D
733,335,12000,B
734,263,8400,B
735,316,16000,D
736,761,12000,D
737,976,25000,G
738,279,8000,B
739,274,12675,B
740,332,4000,B
741,393,3700,B
742,607,4000,A
743,306,11100,B
744,330,15000,B
745,1033,29100,C
746,459,8400,B
747,1911,13000,D
748,299,2200,A
749,781,16500,A
750,483,7800,D
751,783,15000,C
752,684,16000,D
753,324,18700,A
754,266,21000,B
755,1788,12000,C
756,320,14000,B
757,358,15000,B
758,279,6000,A
759,368,10000,C
760,301,21000,B
761,1274,7000,B
762,622,7000,A
763,665,11875,B
764,335,35000,E
765,333,29900,C
766,518,4000,A
767,276,7800,D
768,950,5500,B
769,446,5900,B
770,846,18650,D
771,472,5600,C
772,334,22000,G
773,266,28875,A
774,325,10000,B
775,695,15000,B
776,702,25000,B
777,1028,15000,C
778,307,10000,C
779,330,6000,A
780,319,8000,B
781,334,9600,C
782,348,4500,C
783,272,25000,D
784,462,4000,A
785,374,12000,C
786,1324,3000,C
787,282,9000,B
788,1703,10000,A
789,760,21000,E
790,856,26000,C
791,295,21000,B
792,306,10000,A
793,609,35000,F
794,666,10000,B
795,313,13750,D
796,331,10000,D
797,347,10000,B
798,322,20000,A
799,320,32400,D
800,692,24250,C
801,371,5000,E
802,357,12000,A
803,451,2800,D
804,1301,12675,E
805,335,19125,D
806,296,15000,A
807,332,15000,B
808,1215,25000,D
809,327,7800,D
810,834,15000,A
811,334,5000,A
812,274,10000,B
813,572,7500,C
814,280,7200,B
815,484,9000,D
816,461,10500,B
817,285,6000,D
818,306,15000,B
819,399,20000,D
820,305,16000,F
821,395,8400,A
822,294,8000,B
823,362,16950,C
824,504,10000,B
825,310,30000,C
826,259,5600,C
827,2309,20000,C
828,335,25000,A
829,388,6150,B
830,268,8000,B
831,674,7000,E
832,305,23000,A
833,445,19500,E
834,665,23000,B
835,535,10000,B
836,332,9000,B
837,304,5000,C
838,303,6000,C
839,692,9000,B
840,460,19425,A
841,338,10000,B
842,282,10000,C
843,312,3700,D
844,335,16000,A
845,315,11000,A
846,640,6000,A
847,335,15000,C
848,551,12000,D
849,293,12000,A
850,325,15000,A
851,332,26000,G
852,318,9000,B
853,291,21000,A
854,259,7200,B
855,619,30000,E
856,647,11500,C
857,333,10000,C
858,265,21000,A
859,263,10000,B
860,519,15000,B
861,370,16000,A
862,249,3200,B
863,619,15000,A
864,348,3600,C
865,413,2600,B
866,265,16000,A
867,290,3000,A
868,407,10125,D
869,332,20000,C
870,358,5100,A
871,347,6000,F
872,347,10000,C
873,780,4000,B
874,318,18000,A
875,1023,24000,A
876,511,21850,E
877,546,10000,C
878,448,5600,B
879,543,11200,A
880,399,3000,B
881,468,3600,B
882,415,6000,A
883,394,12000,B
884,915,13500,B
885,266,8000,E
886,603,10300,C
887,331,16800,B
888,403,8800,B
889,725,12000,A
890,309,20000,F
891,1442,5000,A
892,979,5000,E
893,367,14750,C
894,299,14600,B
895,349,10975,B
896,587,16000,A
897,296,12000,A
898,818,14000,B
899,940,20000,F
900,393,14700,B
901,1127,8500,B
902,285,16950,B
903,603,8000,B
904,329,5500,B
905,978,10000,C
906,336,20000,B
907,722,16425,B
908,338,6000,A
909,619,9000,C
910,324,2100,A
911,286,17000,C
912,416,16800,B
913,331,7500,F
914,328,17000,B
915,360,9000,A
916,515,10000,B
917,416,25000,D
918,327,11800,B
919,577,5000,A
920,310,6100,B
921,249,10000,D
922,267,21650,D
923,318,6000,C
924,588,10625,D
925,308,14400,B
926,428,2500,B
927,255,20000,B
928,286,35000,E
929,343,12000,C
930,862,4500,A
931,578,8600,A
932,296,17000,B
933,324,13000,B
934,326,20000,B
935,297,6300,C
936,566,20000,B
937,330,6000,B
938,316,25000,C
939,606,3600,B
940,593,16800,C
941,471,10000,B
942,331,14550,C
943,335,10000,B
944,592,10000,C
945,827,21000,C
946,285,16450,D
947,505,5500,D
948,508,10000,B
949,1210,18000,C
950,278,11500,B
951,256,13000,C
952,331,14125,C
953,388,10000,B
954,1422,4200,C
955,312,6600,B
956,326,8000,B
957,294,10000,D
958,292,30075,D
959,850,12000,D
960,345,24000,B
961,367,9600,C
962,328,4200,B
963,335,15000,B
964,335,1150,B
965,388,24000,A
966,335,15900,C
967,316,15250,D
968,723,5000,B
969,581,10000,A
970,310,20000,A
971,395,3825,A
972,625,6000,C
973,332,6000,B
974,357,6000,A
975,334,14400,A
976,464,8000,A
977,641,11300,B
978,744,23200,A
979,294,11575,A
980,312,21850,E
981,334,6000,A
982,333,3400,B
983,322,20000,D
984,268,20000,B
985,278,5250,D
986,328,14000,B
987,391,16750,B
988,323,10000,B
989,1094,10000,D
990,313,3200,A
991,535,12000,B
992,323,21975,A
993,376,2500,B
994,309,24000,A
995,481,5375,B
996,361,1500,C
997,328,16000,E
998,246,8400,C
999,851,8000,D
1000,3665,13000,A
1001,312,18075,C
1002,527,8400,B
1003,288,12000,C
1004,419,19000,D
1005,328,26000,E
1006,1530,12000,A
1007,1090,3600,D
1008,1335,8400,C
1009,500,20000,D
1010,409,7000,A
1011,332,10625,B
1012,367,15000,C
1013,634,8325,B
1014,308,14100,B
1015,675,12700,B
1016,637,7500,B
1017,501,6000,B
1018,326,13600,B
1019,727,9600,C
1020,442,25000,G
1021,493,6625,B
1022,302,25000,D
1023,398,18000,B
1024,319,7500,A
1025,667,10000,B
1026,369,6000,A
1027,509,7750,E
1028,1288,12000,F
1029,355,7000,B
1030,322,18825,G
1031,431,5600,C
1032,272,10800,C
1033,335,9450,B
1034,543,12000,B
1035,380,15100,B
1036,333,14500,B
1037,326,19375,C
1038,385,8150,D
1039,583,20000,B
1040,470,11400,B
1041,481,12000,A
1042,1003,15000,B
1043,331,18550,A
1044,295,12500,C
1045,761,8000,B
1046,608,20000,B
1047,311,17400,B
1048,457,4000,B
1049,3764,6000,D
1050,335,12325,B
1051,786,7200,A
1052,335,14850,B
1053,294,9750,C
1054,414,13250,B
1055,290,24000,A
1056,257,20000,A
1057,673,24000,D
1058,659,22000,B
1059,610,7775,B
1060,335,11500,A
1061,318,10000,A
1062,598,21000,E
1063,325,32000,A
1064,304,12800,A
1065,276,7000,B
1066,485,30000,D
1067,389,8500,B
1068,501,16950,B
1069,258,35000,F
1070,329,8000,A
1071,642,12000,B
1072,318,21000,B
1073,328,14400,B
1074,313,5100,B
1075,663,24000,C
1076,280,5000,A
1077,326,21200,D
1078,659,12000,C
1079,1450,15200,B
1080,673,17500,C
1081,796,10000,B
1082,809,8000,B
1083,332,10050,A
1084,332,12000,B
1085,337,14000,B
1086,335,12000,B
1087,411,25000,C
1088,339,24700,D
1089,333,19200,A
1090,319,8000,C
1091,335,18000,A
1092,317,5600,C
1093,322,4200,C
1094,329,6400,A
1095,334,24000,B
1096,710,18000,E
1097,656,35000,C
1098,688,11000,B
1099,364,10000,B
1100,298,20950,E
1101,1201,10000,B
1102,582,29500,E
1103,427,9000,C
1104,310,11200,B
1105,515,16000,B
1106,254,3300,C
1107,378,16600,D
1108,513,2000,C
1109,1148,16800,A
1110,686,12500,C
1111,1473,5000,A
1112,1095,15000,C
1113,1563,25000,D
1114,391,10000,B
1115,531,28000,E
1116,298,8500,D
1117,317,10000,B
1118,478,21400,E
1119,301,27000,C
1120,309,25000,D
1121,250,10000,B
1122,287,16000,B
1123,1215,31000,A
1124,316,11500,B
1125,334,18000,C
1126,331,35000,D
1127,336,21250,A
1128,1078,24000,A
1129,310,24000,F
1130,3478,18200,D
1131,319,6000,B
1132,484,1500,A
1133,1027,11000,A
1134,335,35000,E
1135,327,4500,B
1136,317,1500,F
1137,334,11500,E
1138,427,18000,C
1139,498,20000,D
1140,277,7200,C
1141,353,3000,B
1142,532,10000,C
1143,500,21000,A
1144,335,15000,C
1145,400,8000,A
1146,622,2100,B
1147,338,24250,D
1148,616,13500,A
1149,563,15000,A
1150,327,20000,C
1151,453,30000,D
1152,330,18000,C
1153,573,9025,B
1154,321,3000,B
1155,393,25000,C
1156,1225,20000,C
1157,310,15000,B
1158,258,20000,B
1159,873,14000,B
1160,978,14125,C
1161,804,10000,A
1162,1320,19200,B
1163,592,35000,E
1164,350,15000,B
1165,542,10000,E
1166,309,22875,B
1167,329,1200,D
1168,305,14400,D
1169,335,30375,C
1170,328,8325,B
1171,440,8000,A
1172,508,6300,B
1173,322,8000,B
1174,766,35000,D
1175,301,19550,E
1176,712,9600,B
1177,619,20000,B
1178,795,18550,E
1179,464,8500,C
1180,310,7500,A
1181,292,15000,C
1182,654,24000,A
1183,2125,25000,G
1184,293,21000,C
1185,363,13000,E
1186,334,12000,C
1187,314,35000,D
1188,1014,5400,A
1189,745,16000,A
1190,293,10000,B
1191,271,12000,C
1192,396,6000,B
1193,303,29700,B
1194,308,35000,B
1195,646,20000,B
1196,1159,25000,F
1197,1770,15000,B
1198,301,9600,B
1199,254,17000,A
1200,895,24000,C
1201,334,24375,C
1202,438,25000,B
1203,381,15250,D
1204,573,20000,E
1205,255,8400,A
1206,335,9600,B
1207,245,2500,C
1208,544,1600,B
1209,335,14000,D
1210,666,10000,B
1211,601,10400,B
1212,529,12000,B
1213,327,28000,A
1214,466,10000,D
1215,296,35000,E
1216,1335,2400,C
1217,274,13000,B
1218,333,8000,B
1219,318,10000,D
1220,583,6000,C
1221,299,6625,C
1222,325,24000,B
1223,259,10000,A
1224,509,2000,B
1225,335,15875,D
1226,335,26400,F
1227,596,4200,B
1228,311,25000,D
1229,296,13400,A
1230,367,8000,C
1231,451,15000,B
1232,302,4800,B
1233,274,14000,B
1234,324,25000,C
1235,303,15000,A
1236,350,35000,E
1237,686,3900,C
1238,282,5375,B
1239,435,6250,B
1240,335,6400,C
1241,335,35000,C
1242,421,4000,D
1243,468,27300,B
1244,313,24000,A
1245,336,17500,A
1246,335,23450,E
1247,313,1500,F
1248,1042,24000,G
1249,326,8000,A
1250,611,20000,D
1251,298,13200,G
1252,806,16700,D
1253,330,20000,B
1254,333,15000,B
1255,390,1775,B
1256,319,10000,A
1257,498,5000,B
1258,556,5000,A
1259,1816,20000,E
1260,334,10000,A
1261,468,7700,B
1262,318,11200,A
1263,254,8325,A
1264,286,6000,B
1265,280,20000,A
1266,901,18200,B
1267,389,20000,C
1268,339,7450,D
1269,309,14400,A
1270,299,4000,C
1271,422,9000,A
1272,291,19500,E
1273,271,16000,B
1274,491,10000,A
1275,305,18000,B
1276,427,21000,D
1277,342,15000,B
1278,331,12000,B
1279,335,16000,A
1280,341,15000,B
1281,331,10750,C
1282,920,13200,C
1283,268,16000,C
1284,432,12525,B
1285,271,7200,D
1286,331,10000,A
1287,1678,12000,F
1288,326,7200,B
1289,330,17425,C
1290,322,3600,B
1291,395,6000,B
1292,288,7000,A
1293,426,15000,B
1294,335,19250,E
1295,314,30000,E
1296,335,21600,B
1297,632,35000,C
1298,335,9000,A
1299,443,20000,C
1300,287,16000,E
1301,324,14000,B
1302,328,10000,B
1303,298,16000,C
1304,316,24925,B
1305,311,30000,C
1306,1051,7000,A
1307,360,7000,A
1308,274,21000,B
1309,531,30000,E
1310,298,4800,C
1311,1901,5875,A
1312,340,11200,C
1313,332,12000,B
1314,613,14500,B
1315,691,35000,D
1316,1074,8500,D
1317,324,7000,C
1318,610,13600,B
1319,561,15000,B
1320,1222,20000,F
1321,316,15000,B
1322,351,3000,B
1323,335,20000,C
1324,290,10000,C
1325,325,30000,A
1326,2176,16000,E
1327,665,8000,C
1328,367,22000,A
1329,410,8000,A
1330,399,9000,D
1331,407,19000,A
1332,278,7200,A
1333,1057,20000,B
1334,284,3000,E
1335,1876,16000,C
1336,417,13000,A
1337,314,22000,A
1338,918,15350,D
1339,270,4800,A
1340,568,12500,B
1341,337,35000,B
1342,331,23100,C
1343,791,2500,E
1344,296,19000,D
1345,321,13600,A
1346,332,8600,F
1347,317,21600,A
1348,444,7500,D
1349,311,15000,B
1350,520,28000,B
1351,517,8500,A
1352,250,5950,B
1353,1425,14000,B
1354,669,2000,C
1355,335,16000,B
1356,1614,25000,C
1357,280,3000,A
1358,879,9000,C
1359,1629,12000,C
1360,721,6000,C
1361,416,7000,A
1362,335,16000,B
1363,302,20000,A
1364,277,18000,E
1365,532,20000,A
1366,324,7000,D
1367,269,14125,B
1368,613,6000,D
1369,325,13000,B
1370,310,6500,A
1371,441,4450,B
1372,1239,15000,C
1373,297,8000,D
1374,392,9500,A
1375,315,27575,B
1376,479,8400,D
1377,1574,25000,C
1378,647,15000,B
1379,657,9000,A
1380,267,1600,D
1381,331,10000,B
1382,268,8450,A
1383,426,12000,A
1384,634,15000,B
1385,266,12250,C
1386,345,10000,C
1387,695,6000,B
1388,442,17000,D
1389,332,20000,E
1390,307,5950,B
1391,327,35000,C
1392,1018,8000,C
1393,657,4000,B
1394,811,5400,C
1395,549,4400,B
1396,501,7000,B
1397,328,10000,B
1398,510,11000,D
1399,322,11625,A
1400,1016,6000,D
1401,515,11650,B
1402,329,24000,E
1403,311,21000,B
1404,327,7700,A
1405,617,5000,C
1406,473,5525,B
1407,495,10000,E
1408,290,10000,B
1409,329,11975,B
1410,312,15000,F
1411,333,16000,B
1412,590,17000,A
1413,292,18075,B
1414,482,7750,C
1415,339,4000,B
1416,508,25000,C
1417,333,9000,A
1418,293,20000,A
1419,335,8000,C
1420,677,17500,E
1421,307,8000,B
1422,417,20000,B
1423,364,15000,B
1424,264,17000,B
1425,418,7000,A
1426,1555,14000,C
1427,271,1600,B
1428,332,20000,B
1429,1003,35000,B
1430,386,30000,B
1431,368,30000,A
1432,427,15000,A
1433,672,10000,B
1434,259,24000,A
1435,262,16700,A
1436,250,20000,C
1437,323,20500,C
1438,658,21100,A
1439,973,4000,A
1440,418,10000,A
1441,316,19750,D
1442,274,15000,B
1443,452,24000,C
1444,322,15000,A
1445,995,9000,B
1446,271,15000,B
1447,324,4000,A
1448,645,10000,A
1449,307,19000,B
1450,597,12000,E
1451,309,24000,B
1452,915,8000,B
1453,455,35000,E
1454,525,8000,B
1455,590,3000,A
1456,511,13125,A
1457,805,2500,F
1458,378,20000,B
1459,1142,20000,C
1460,327,28000,B
1461,322,10000,C
1462,884,21000,E
1463,331,16000,A
1464,1037,12000,E
1465,459,20000,D
1466,368,3800,A
1467,594,12000,A
1468,333,11250,B
1469,347,25000,B
1470,323,9000,C
1471,323,25000,C
1472,326,20000,C
1473,639,3500,D
1474,264,17000,A
1475,335,24000,F
1476,315,14000,A
1477,333,34475,E
1478,1937,11500,A
1479,334,8000,C
1480,805,21600,C
1481,672,4000,A
1482,429,17425,B
1483,668,8475,A
