Unnamed: 0,id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,url,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,debt_settlement_flag,target,openness_truth,conscientiousness_truth,extraversion_truth,agreeableness_truth,neuroticism_truth
3407,905122,4800,4800,4800.0, 36 months,  8.90%,152.42,A,A5,Union Pacific ,8 years,MORTGAGE,70000.0,Not Verified,Nov-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=905122,home_improvement,Home Improvement,924xx,CA,10.03,0,Mar-1991,715,719,1,,,6,0,19437,78.1%,12,f,0.0,0.0,3633.6,3633.6,2776.61,572.01,0.0,284.98,2.8035999992,Sep-2013,152.42,,Oct-2016,564,560,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,1,0.55,0.65,0.45,0.6,0.4
1332,1052469,20000,20000,20000.0, 36 months, 17.27%,715.75,D,D3,California Heating & Sheetmetal,10+ years,MORTGAGE,50000.0,Source Verified,Dec-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=1052469,debt_consolidation,Debt Consolidation Loan,955xx,CA,3.02,2,Sep-1993,680,684,0,17.0,,3,0,4245,38.2%,11,f,0.0,0.0,26149.35,26149.35,19675.8,6146.68,14.978219287174,311.89,56.1402,Jul-2015,715.75,,May-2020,674,670,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,1,0.35,0.55,0.4,0.5,0.6
1043,1057099,13650,13650,13644.503995899197, 36 months, 10.65%,444.63,B,B2,Sarasota County School District,5 years,RENT,44000.0,Source Verified,Dec-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=1057099,credit_card,Credit Card Loan,342xx,FL,24.57,0,Oct-2000,730,734,1,,,5,0,16070,83.3%,16,f,0.0,0.0,16006.4499934055,15999.16,13650.0,2356.45,0.0,0.0,0.0,Dec-2014,460.91,,Jan-2016,724,720,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.55,0.65,0.45,0.6,0.4
9624,846484,8400,8400,8400.0, 36 months, 15.99%,295.28,D,D2,naval undersea warfare center,10+ years,MORTGAGE,120000.0,Source Verified,Aug-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=846484,debt_consolidation,debt consolidation,028xx,RI,5.06,1,Jan-1997,680,684,2,21.0,112.0,7,1,3141,97.2%,19,f,0.0,0.0,5019.76,5019.76,3455.72,1539.9,0.0,24.14,0.0,Jan-2013,295.28,,May-2020,514,510,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,1,0.35,0.55,0.4,0.5,0.6
1294,1053045,20000,20000,19950.0, 60 months, 10.65%,431.37,B,B2,Spirit AeroSystems Inc,10+ years,OWN,62400.0,Verified,Dec-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=1053045,debt_consolidation,Debt Consolidation,672xx,KS,24.02,0,Aug-1989,745,749,0,,,11,0,15709,55.1%,15,f,0.0,0.0,22967.9274923187,22910.51,20000.0,2967.93,0.0,0.0,0.0,Jul-2013,15225.38,,May-2020,734,730,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.55,0.65,0.45,0.6,0.4
8308,787255,20000,20000,20000.0, 36 months, 10.99%,654.68,B,B3,BNY Mellon,10+ years,RENT,51996.0,Verified,Sep-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=787255,debt_consolidation,Debt Consolidation,100xx,NY,13.62,0,May-1991,705,709,0,,,18,0,23025,40.5%,24,f,0.0,0.0,23568.4644631827,23568.46,20000.0,3568.46,0.0,0.0,0.0,Sep-2014,671.09,,Mar-2019,774,770,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.55,0.65,0.45,0.6,0.4
7479,882097,18000,18000,17975.0, 60 months, 23.91%,516.89,G,G4,Euro RSCG Life,< 1 year,MORTGAGE,165000.0,Verified,Sep-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=882097,home_improvement,Hurrican Irene Home Improvement,074xx,NJ,9.46,1,Sep-1998,670,674,2,23.0,,28,0,15134,47.3%,48,f,0.0,0.0,31012.6700676767,30969.6,18000.0,13012.67,0.0,0.0,0.0,Sep-2016,516.16,,Apr-2020,639,635,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.35,0.55,0.5,0.65,0.6
6467,968685,5000,5000,4750.0, 36 months,  9.91%,161.13,B,B1,VCA Great Lakes Veterinary Specialists,4 years,RENT,30000.0,Not Verified,Sep-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=968685,debt_consolidation,Lending Club Loan,440xx,OH,21.16,0,Nov-1994,695,699,0,46.0,,9,0,533,41%,23,f,0.0,0.0,2288.03,2173.41,1633.01,455.96,0.0,199.06,1.99,Nov-2012,161.13,,Oct-2016,589,585,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,1,0.55,0.65,0.45,0.6,0.4
8192,869427,9600,9600,9350.0, 36 months,  8.49%,303.01,A,A5,HP,2 years,RENT,45000.0,Source Verified,Sep-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=869427,credit_card,Consolidate/Reduce Credit Card Payments,117xx,NY,4.83,0,Nov-2005,710,714,0,,,6,0,3378,79.3%,7,f,0.0,0.0,10908.109999623,10624.04,9600.0,1308.11,0.0,0.0,0.0,Sep-2014,324.65,,May-2020,714,710,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.55,0.65,0.45,0.6,0.4
3417,1005144,6000,6000,6000.0, 36 months,  7.51%,186.67,A,A3,Dept of Veterans Affairs,9 years,MORTGAGE,59000.0,Not Verified,Nov-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=1005144,other,Fix vehicle,403xx,KY,11.0,1,Dec-1993,720,724,0,3.0,,8,0,1355,7.5%,30,f,0.0,0.0,6687.8161228974,6687.82,6000.0,687.82,0.0,0.0,0.0,Apr-2014,1469.96,,Sep-2016,579,575,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.55,0.65,0.45,0.6,0.4
3635,1015930,24000,24000,23718.655379112777, 36 months,  7.90%,750.97,A,A4,,4 years,MORTGAGE,115000.0,Verified,Nov-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=1015930,debt_consolidation,Consolidation,757xx,TX,17.82,0,Jan-2001,735,739,0,,,16,0,11765,47.6%,34,f,0.0,0.0,27033.460013355005,26715.9,24000.0,3033.46,0.0,0.0,0.0,Nov-2014,15.27,,Jan-2020,659,655,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.55,0.65,0.45,0.6,0.4
8492,862932,8400,8400,8400.0, 36 months, 16.89%,299.03,D,D4,"Sudberry Properties, Inc",6 years,MORTGAGE,60000.0,Not Verified,Aug-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=862932,debt_consolidation,Debt Consolidation Loan,925xx,CA,7.24,0,Feb-1999,670,674,1,74.0,,6,0,8773,97.5%,7,f,0.0,0.0,10651.7543260396,10651.75,8400.0,2251.75,0.0,0.0,0.0,Feb-2014,2312.84,,May-2020,649,645,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.35,0.55,0.5,0.4,0.65
1689,1039974,16000,16000,15950.0, 60 months, 13.49%,368.08,C,C1,bluffton stone co.,10+ years,MORTGAGE,62000.0,Source Verified,Dec-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=1039974,credit_card,Credit Card Loan,458xx,OH,17.13,0,Jun-1993,725,729,3,,,8,0,15489,70.4%,33,f,0.0,0.0,22068.53,21999.57,16000.0,6068.53,0.0,0.0,0.0,Sep-2016,1456.05,,Oct-2016,709,705,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.35,0.55,0.5,0.65,0.45
5957,977313,9600,9600,9600.0, 36 months, 14.27%,329.37,C,C2,FleetCor,1 year,RENT,25000.0,Not Verified,Oct-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=977313,debt_consolidation,Pay off loan,281xx,NC,14.5,1,Aug-2005,685,689,0,17.0,,3,0,5713,40.8%,6,f,0.0,0.0,10954.1398590477,10954.14,9600.0,1354.14,0.0,0.0,0.0,Dec-2012,6675.25,,Aug-2019,694,690,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.35,0.55,0.4,0.5,0.65
1951,1043264,7000,7000,7000.0, 36 months, 14.27%,240.17,C,C2,Ebsco Publishing,6 years,RENT,55900.0,Verified,Nov-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=1043264,other,Personal events,019xx,MA,24.58,0,Jun-2005,665,669,0,,,10,0,11293,80.7%,17,f,0.0,0.0,8460.039999999999,8460.04,6742.15,1647.3,0.0,70.59,12.7062000003,Nov-2014,240.17,,Oct-2016,529,525,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,1,0.55,0.65,0.45,0.6,0.4
9994,840233,10000,10000,10000.0, 60 months, 12.99%,227.48,C,C1,Premier food service,3 years,RENT,50000.0,Source Verified,Aug-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=840233,small_business,Disaster relief Food production Trailer,921xx,CA,11.66,0,Jul-1990,725,729,0,31.0,,7,0,1340,12.7%,18,f,0.0,0.0,13622.28,13622.28,10000.0,3622.28,0.0,0.0,0.0,Mar-2016,1338.36,,Apr-2016,634,630,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.55,0.65,0.45,0.6,0.4
7722,866035,20000,20000,18225.0, 60 months, 10.99%,434.75,B,B3,Hillsborough County Sheriff's Office,10+ years,RENT,49000.0,Verified,Sep-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=866035,debt_consolidation,Debt Consolidation,335xx,FL,11.36,0,Jul-1988,735,739,0,,,6,0,18097,59.3%,17,f,0.0,0.0,20364.9143232174,18557.6,20000.0,364.91,0.0,0.0,0.0,Nov-2011,19933.6,,Dec-2011,804,800,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.55,0.65,0.45,0.6,0.4
2019,1041844,15000,15000,14750.0, 60 months, 18.25%,382.95,D,D5,Plumber&Steamfitter Local 137,10+ years,MORTGAGE,65000.0,Not Verified,Dec-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=1041844,debt_consolidation,debt consolidation,626xx,IL,10.45,0,Oct-1997,680,684,0,,,6,0,17293,72.4%,16,f,0.0,0.0,11055.2,10870.16,4642.44,4929.9,0.0,1482.86,14.8144999945,Feb-2014,51.45,,Oct-2016,559,555,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,1,0.35,0.55,0.5,0.4,0.65
1465,1050143,6000,6000,6000.0, 36 months, 12.69%,201.27,B,B5,Impax lab.,2 years,RENT,45000.0,Not Verified,Dec-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=1050143,other,personal expenses,945xx,CA,19.04,0,Oct-2003,680,684,1,,,10,0,25082,80.8%,21,f,0.0,0.0,1503.8,1503.8,847.91,358.03,0.0,297.86,2.87,Jun-2012,201.27,,Oct-2016,514,510,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,1,0.35,0.55,0.5,0.65,0.45
8473,863251,18000,17450,17450.0, 60 months, 16.49%,428.91,D,D3,Infor,8 years,MORTGAGE,150000.0,Verified,Sep-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=863251,medical,Medical,957xx,CA,16.82,0,Nov-1994,695,699,1,39.0,88.0,13,1,4648,41.5%,28,f,0.0,0.0,25734.6800737431,25734.68,17450.0,8284.68,0.0,0.0,0.0,Sep-2016,428.99,,May-2020,669,665,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.35,0.55,0.5,0.65,0.6
1069,1056374,10000,10000,10000.0, 36 months,  7.51%,311.11,A,A3,Columbia Basin Hospital,2 years,MORTGAGE,69077.0,Not Verified,Dec-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=1056374,debt_consolidation,Debt Consolidation Loan,993xx,WA,17.37,0,May-1994,735,739,1,,,11,0,28667,63.8%,22,f,0.0,0.0,11199.8899999978,11199.89,10000.0,1199.89,0.0,0.0,0.0,Dec-2014,326.55,,Dec-2014,714,710,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.35,0.65,0.5,0.55,0.45
7858,875406,2000,2000,2000.0, 36 months,  5.42%,60.32,A,A1,,10+ years,RENT,30000.0,Not Verified,Sep-2011,n,https://lendingclub.com/browse/loanDetail.action?loan_id=875406,debt_consolidation,A Family Reunion...In Ireland.,112xx,NY,3.6,0,Jan-1975,775,779,0,72.0,,7,0,0,0%,15,f,0.0,0.0,2161.663243872601,2161.66,2000.0,161.66,0.0,0.0,0.0,Feb-2014,53.12,,May-2020,789,785,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,0,0.55,0.65,0.45,0.6,0.4
